ticker,price,time
VIX,19800,2023-09-04 11:00:11.000000 UTC
VIX,19800,2023-09-04 11:00:10.000000 UTC
VIX,19800,2023-09-04 11:00:11.000000 UTC
VIX,19800,2023-09-04 11:00:11.000000 UTC
VIX,19800,2023-09-04 11:00:10.000000 UTC
VIX,19800,2023-09-04 11:00:11.000000 UTC
VIX,19800,2023-09-04 12:00:11.000000 UTC
VIX,19800,2023-09-04 12:00:11.000000 UTC
VIX,19800,2023-09-04 12:00:11.000000 UTC
VIX,19800,2023-09-04 12:00:11.000000 UTC
VIX,19800,2023-09-04 12:00:11.000000 UTC
VIX,19800,2023-09-04 12:00:11.000000 UTC
VIX,19800,2023-09-04 10:00:11.000000 UTC
VIX,19800,2023-09-04 10:00:11.000000 UTC
VIX,19800,2023-09-04 10:00:11.000000 UTC
VIX,19800,2023-09-04 10:00:11.000000 UTC
VIX,19800,2023-09-04 10:00:11.000000 UTC
VIX,19800,2023-09-04 10:00:11.000000 UTC
VIX,19800,2023-09-04 14:00:10.000000 UTC
VIX,19800,2023-09-04 14:00:11.000000 UTC
VIX,19800,2023-09-04 14:00:11.000000 UTC
VIX,19800,2023-09-04 14:00:11.000000 UTC
VIX,19800,2023-09-04 14:00:11.000000 UTC
VIX,19800,2023-09-04 14:00:11.000000 UTC
VIX,19800,2023-09-04 13:00:10.000000 UTC
VIX,19800,2023-09-04 13:00:10.000000 UTC
VIX,19800,2023-09-04 13:00:10.000000 UTC
VIX,19800,2023-09-04 13:00:10.000000 UTC
VIX,19800,2023-09-04 13:00:10.000000 UTC
VIX,19800,2023-09-04 13:00:10.000000 UTC
NKG,19300,2023-09-04 11:00:10.000000 UTC
NKG,19300,2023-09-04 11:00:11.000000 UTC
NKG,19300,2023-09-04 11:00:11.000000 UTC
NKG,19300,2023-09-04 11:00:11.000000 UTC
NKG,19300,2023-09-04 11:00:10.000000 UTC
NKG,19300,2023-09-04 11:00:11.000000 UTC
NKG,19300,2023-09-04 12:00:11.000000 UTC
NKG,19300,2023-09-04 12:00:11.000000 UTC
NKG,19300,2023-09-04 12:00:11.000000 UTC
NKG,19300,2023-09-04 12:00:11.000000 UTC
NKG,19300,2023-09-04 12:00:11.000000 UTC
NKG,19300,2023-09-04 12:00:11.000000 UTC
NKG,19300,2023-09-04 10:00:11.000000 UTC
NKG,19300,2023-09-04 10:00:11.000000 UTC
NKG,19300,2023-09-04 10:00:11.000000 UTC
NKG,19300,2023-09-04 10:00:11.000000 UTC
NKG,19300,2023-09-04 10:00:11.000000 UTC
NKG,19300,2023-09-04 10:00:11.000000 UTC
NKG,19300,2023-09-04 14:00:10.000000 UTC
NKG,19300,2023-09-04 14:00:11.000000 UTC
